ID	Sample	Dilution	Clostridia	Coriobacteriia	Bacteroidia	Actinobacteria	Bacilli	Unclassified_Firmicutes	Erysipelotrichi	Mollicutes	Verrucomicrobiae	Gammaproteobacteria	Other
226_SD_MB	MI-226	D0	0.735257064	0.15399844	0.010438539	0.005969164	0.024656548	2.99958E-05	0.005519227	0	0.053752475	0.007139001	0.003239546
226_D1_MB	MI-226	D1	0.690056875	0.143409499	0.013869487	0.004639792	0.027788864	7.48354E-05	0.00526342	0	0.101875873	0.009928158	0.003093195
226_D2_MB	MI-226	D2	0.747908691	0.035417553	0.011938182	0.001984971	0.026059833	0	0.001361123	0	0.166368921	0.007202609	0.001758117
226_D3_MB	MI-226	D3	0.834693878	0.046938776	0.014285714	0	0.012244898	0	0.002040816	0	0.075510204	0.014285714	0
226_D4_MB	MI-226	D4	0.862337662	0.023376623	0.003896104	0.01038961	0.036363636	0	0	0	0.055844156	0.006493506	0.001298701
226_D5_MB	MI-226	D5	0.845483095	0.04303087	0.009755446	0.014332487	0.017472939	0.00247227	0.008318856	0.001236135	0.040725645	0.01279567	0.004376587
294_SD_MB	MI-294	D0	0.625838802	0.097485436	0.009881277	0.110537571	0.00081115	0.021237372	0.078755254	0.007374087	7.37409E-05	0.000368704	0.047636605
294_D1_MB	MI-294	D1	0.597175336	0.121667241	0.014674475	0.109036629	0.001722356	0.022895855	0.075370307	0.006797566	4.59295E-05	0.000206683	0.050407624
294_D2_MB	MI-294	D2	0.71319709	0.062463919	0.01607782	0.077848978	0.003204018	0.025054844	0.060529962	0.009092484	2.8865E-05	0.00023092	0.0322711
294_D3_MB	MI-294	D3	0.744469812	0.034610441	0.012451317	0.070525488	0.001726685	0.026974656	0.064923354	0.011376935	3.83708E-05	0.000345337	0.032557604
294_D4_MB	MI-294	D4	0.782152475	0.021543319	0.010233076	0.057814096	0.002265763	0.025963414	0.055994057	0.010771659	0.000130003	0.0013186	0.031813539
294_D5_MB	MI-294	D5	0.777860204	0.038658094	0.014713155	0.050733597	0.006058358	0.018916914	0.054731289	0.010344543	0.001607319	0.001277613	0.025098912
390_SD_MB	MI-390	D0	0.633534743	0.064177816	0.029175658	0.112990937	0.022313336	0.001812689	0.010660337	0.002719033	0.046914113	0.004876996	0.070824342
390_D1_MB	MI-390	D1	0.609804423	0.050939537	0.038604116	0.116089309	0.021773403	0.002151775	0.010098428	0.0031744	0.082278751	0.00462312	0.060462738
390_D2_MB	MI-390	D2	0.723840274	0.019636268	0.03617554	0.094952557	0.016143911	0.002569847	0.005535055	0.002306273	0.065761729	0.005864523	0.027214022
390_D3_MB	MI-390	D3	0.772182308	0.014728334	0.023013022	0.077054333	0.021486304	0.002424787	0.011517737	0.003412663	0.048428379	0.002671756	0.023080377
390_D4_MB	MI-390	D4	0.762187088	0.011034256	0.031702899	0.087450593	0.021656785	0.004199605	0.009305007	0.006587615	0.041666667	0.00444664	0.019762846
390_D5_MB	MI-390	D5	0.831685039	0.009102362	0.022330709	0.057417323	0.014992126	0.001070866	0.004629921	0.002866142	0.03823622	0.004724409	0.012944882
buffC6	buffC6	control	0.518518519	0.148148148	0.185185185	0	0	0	0.037037037	0	0.074074074	0.037037037	0
empA1	empA1	control	0.275862069	0.034482759	0.068965517	0	0.379310345	0	0	0	0.034482759	0.068965517	0.137931034
empB1	empB1	control	0.258064516	0.032258065	0.129032258	0.064516129	0	0	0.032258065	0	0.064516129	0.032258065	0.387096774
PBS	PBS	control	0.666666667	0	0.033333333	0.066666667	0.1	0.033333333	0	0	0.033333333	0	0.066666667
blankMB	blankMB	control	0.44	0	0.08	0.04	0.32	0.04	0.04	0	0	0.04	0
blankMB_PBS	blankMB_PBS	control	0.714285714	0	0.085714286	0.028571429	0.028571429	0	0.028571429	0	0.085714286	0.028571429	0
water	water	control	0.333333333	0.023809524	0.095238095	0	0.214285714	0	0.023809524	0	0	0	0.30952381
