ID	Sample	Dilution	Blautia	Coprococcus	Faecalibacterium	Ruminococcaceae	Clostridium	Ruminococcus	[Ruminococcus]	Lachnospiraceae	Clostridiales_SMB53	Oscillospira	Collinsella	Dorea	Bifidobacterium	Unclassified	Roseburia	Clostridium	Bacteroides	Unclassified_Firmicutes	Coriobacteriaceae	Mollicutes_RF39	Akkermansia	Other
120_D4_MB	MI-120	D4	0.132512529	0.111952962	0.039856359	0.045144233	0.134604001	0.059034766	0.051773805	0.112702735	0.011799061	0.024032201	0.055601594	0.01586362	0.033937098	0.004261868	0.007971272	0.045065309	0.000631388	0.029241151	0.006747958	0.018823251	0.000513003	0.057929837
120_D5_MB	MI-120	D5	0.128129239	0.10087557	0.066777654	0.063139721	0.12769762	0.083734123	0.059131829	0.093969663	0.009433962	0.024417314	0.031138241	0.024170675	0.026267111	0.008077445	0.006967567	0.03705759	0.001911456	0.015599951	0.006659267	0.023800715	0.00012332	0.060919965
226_SD_MB	MI-226	D0	0.168486412	0.099916012	0.058251845	0.053092567	0.007978883	0.009298698	0.08035875	0.119833223	0.025226468	0.000659908	0.131981523	0.03371528	2.99958E-05	0.015747795	0.028705981	0.033835263	0.009688644	2.99958E-05	0.015087888	0	0.053752475	0.054322395
226_D1_MB	MI-226	D1	0.154684694	0.090525843	0.067276991	0.041733187	0.007433646	0.012073438	0.058920375	0.097660148	0.026865895	0.000424067	0.126796049	0.028412493	0	0.015091798	0.053382558	0.027689084	0.013121134	7.48354E-05	0.012871682	0	0.101875873	0.06308621
226_D2_MB	MI-226	D2	0.158655891	0.089522189	0.070778392	0.046079682	0.006862328	0.014490288	0.073784205	0.120204168	0.026371757	0.000396994	0.031617751	0.024443499	0	0.008251808	0.079313767	0.02347937	0.011059124	0	0.002098398	0	0.166368921	0.046221466
226_D3_MB	MI-226	D3	0.181632653	0.102040816	0.07755102	0.030612245	0.004081633	0.012244898	0.12244898	0.148979592	0.028571429	0	0.042857143	0.024489796	0	0.012244898	0.06122449	0.030612245	0.012244898	0	0.002040816	0	0.075510204	0.030612245
226_D4_MB	MI-226	D4	0.179220779	0.106493506	0.087012987	0.036363636	0.001298701	0.014285714	0.097402597	0.131168831	0.022077922	0	0.018181818	0.027272727	0	0.016883117	0.116883117	0.023376623	0.002597403	0	0.003896104	0	0.055844156	0.05974026
226_D5_MB	MI-226	D5	0.198650274	0.101196044	0.052084725	0.042930643	0.019945209	0.027428839	0.092342643	0.129025792	0.022150207	0.003674997	0.034177469	0.023787251	0.012829079	0.0099559	0.079847655	0.028230656	0.008953628	0.00247227	0.006514767	0.001236135	0.040725645	0.061840171
294_SD_MB	MI-294	D0	0.106776786	0.063048448	0.045940565	0.026841678	0.092176093	0.01688666	0.040336258	0.057001696	0.031339872	0.035764324	0.063638375	0.040631222	0.108915272	0.012830912	0.006857901	0.01519062	0.00081115	0.021237372	0.032519726	0.007374087	7.37409E-05	0.173807241
294_D1_MB	MI-294	D1	0.084372488	0.053599724	0.054357561	0.028912619	0.075025835	0.019543001	0.030726834	0.057985992	0.024158916	0.046894018	0.084579171	0.044023424	0.106786083	0.014513721	0.006521989	0.018371799	0.00179125	0.022895855	0.034722701	0.006797566	4.59295E-05	0.183373522
294_D2_MB	MI-294	D2	0.097044221	0.056286803	0.057758919	0.035763769	0.091300081	0.034666898	0.03209791	0.068121464	0.035792634	0.05850941	0.044913982	0.046039718	0.077127352	0.013133587	0.01085325	0.028345457	0.002136012	0.025054844	0.016539661	0.009092484	2.8865E-05	0.15939268
294_D3_MB	MI-294	D3	0.10816722	0.063906529	0.057901502	0.044299062	0.08029085	0.027953111	0.029910021	0.083149473	0.03311398	0.064520461	0.021027186	0.04867333	0.069585404	0.010974042	0.009688621	0.032979683	0.001016826	0.026974656	0.012566429	0.011376935	3.83708E-05	0.161886307
294_D4_MB	MI-294	D4	0.109555205	0.056216919	0.051536819	0.052929706	0.062791346	0.029306342	0.030624942	0.089256198	0.070201504	0.066784288	0.012034544	0.052093973	0.056978364	0.012573127	0.009583062	0.041600891	0.002265763	0.025963414	0.008728758	0.010771659	0.000130003	0.148073173
294_D5_MB	MI-294	D5	0.09495549	0.051228157	0.04096604	0.057245302	0.0408424	0.0219667	0.03276459	0.070062644	0.182492582	0.056050115	0.023161886	0.034124629	0.048755358	0.011580943	0.014012529	0.038081108	0.001524893	0.018916914	0.014507089	0.010344543	0.001607319	0.13480877
390_SD_MB	MI-390	D0	0.141605524	0.058394476	0.017565818	0.019033233	0.061588261	0.108372896	0.02149331	0.016400518	0.049589987	0.012429866	0.054251187	0.012300388	0.11160984	0.017047907	0.000992663	0.009667674	0.019939577	0.001812689	0.007034959	0.002719033	0.046914113	0.209236081
390_D1_MB	MI-390	D1	0.129852145	0.056904853	0.02942179	0.019003792	0.053048703	0.101921684	0.017086369	0.015829392	0.033448379	0.012974562	0.042311134	0.011973241	0.113958839	0.015488517	0.002322212	0.007733606	0.023946483	0.002151775	0.006093144	0.0031744	0.082278751	0.219076228
390_D2_MB	MI-390	D2	0.152411703	0.05772272	0.038547707	0.024380601	0.054098577	0.128690037	0.022733263	0.022206115	0.039667897	0.015880337	0.014562467	0.011399578	0.093568793	0.012519768	0.002965208	0.011663152	0.025698471	0.002569847	0.003690037	0.002306273	0.065761729	0.19695572
390_D3_MB	MI-390	D3	0.181634486	0.04948361	0.039694656	0.019151325	0.049169286	0.162887292	0.019824877	0.025348002	0.052739111	0.012303547	0.009991019	0.014234396	0.076380781	0.009654243	0.005725191	0.014054782	0.017287831	0.002424787	0.003367759	0.003412663	0.048428379	0.182801976
390_D4_MB	MI-390	D4	0.16147892	0.059123847	0.038125823	0.017539526	0.049736495	0.153326746	0.029150198	0.020256917	0.061841238	0.020998024	0.007411067	0.014492754	0.085803689	0.012598814	0.001646904	0.014410408	0.023221344	0.004199605	0.003376153	0.006587615	0.041666667	0.173007246
390_D5_MB	MI-390	D5	0.125259843	0.038393701	0.033700787	0.015811024	0.036	0.115086614	0.015307087	0.017700787	0.303559055	0.00903937	0.006645669	0.010110236	0.056314961	0.008251969	0.003023622	0.008913386	0.015401575	0.001070866	0.001826772	0.002866142	0.03823622	0.137480315
buffC6	buffC6	control	0.074074074	0.037037037	0	0	0	0	0.185185185	0	0	0.037037037	0.148148148	0	0	0.111111111	0	0.037037037	0.111111111	0	0	0	0.074074074	0.185185185
empA1	empA1	control	0.103448276	0.103448276	0	0.034482759	0	0	0	0	0	0.034482759	0.034482759	0	0	0.137931034	0	0	0.068965517	0	0	0	0.034482759	0.448275862
empB1	empB1	control	0.032258065	0.032258065	0.032258065	0.032258065	0	0	0	0	0.032258065	0	0.032258065	0	0.064516129	0.387096774	0.032258065	0	0.032258065	0	0	0	0.064516129	0.225806452
PBS	PBS	control	0.066666667	0.033333333	0.066666667	0.066666667	0	0.033333333	0	0.033333333	0.033333333	0	0	0.166666667	0.066666667	0.166666667	0.033333333	0	0.033333333	0.033333333	0	0	0.033333333	0.133333333
blankMB	blankMB	control	0.16	0	0	0.04	0	0	0.04	0	0.04	0.04	0	0.04	0.04	0.04	0	0.08	0.04	0.04	0	0	0	0.4
blankMB_PBS	blankMB_PBS	control	0.285714286	0.114285714	0.028571429	0	0	0.028571429	0.085714286	0.057142857	0	0	0	0	0.028571429	0.028571429	0.028571429	0	0.085714286	0	0	0	0.085714286	0.142857143
water	water	control	0.047619048	0.023809524	0.071428571	0.047619048	0.023809524	0.023809524	0	0.023809524	0	0	0.023809524	0	0	0.333333333	0	0	0.023809524	0	0	0	0	0.357142857
